Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001999999880837,0.0003999999761532,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,152.97260000002382,272.3906999999881,space,119.39280000001196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,272.39589999997617,93.0,0.0,275.9046999999881,93.0,s,3.4851000000238628,,279.3018999999762,279.8013000000119,278.7858999999761,279.3016999999881,276.9213000000119,278.78580000001193,279.80150000000003,280.3016999999881,280.3018999999762,281.4335,126.0,281.433800000012,1.0,282.43260000002385,0.0,0.0,0.0,20.0,1.0,0.8,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,282.43319999998806,305.0,0.0,282.4348999999761,305.0,,,,286.42960000002387,286.92900000000003,285.913300000012,286.42960000002387,283.44910000002386,285.9131999999881,286.9291000000238,287.4283000000119,287.4283000000119,292.108,111.0,292.108,1.0,293.10739999997617,0.0,1.0,1.0,13.0,1.0,1.4,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,293.1081999999881,355.0,0.0,293.10839999997614,355.0,,,,296.4713000000119,296.9705,295.9551999999881,296.47110000002385,294.12310000002384,295.95510000002383,296.9705,297.469800000012,297.4698999999762,301.8166999999881,90.0,301.81680000001194,1.0,302.81560000002384,0.0,2.0,2.0,5.0,1.0,0.8,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,302.81600000000003,233.0,0.0,302.8161999999881,233.0,,,,306.21330000001194,306.7126000000238,305.6971999999881,306.21310000002387,303.8316999999881,305.69710000002385,306.7126000000238,307.21189999997614,307.212,307.345,84.0,307.3451000000239,1.0,308.3445,0.0,3.0,3.0,10.0,1.0,0.8,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,308.344800000012,205.0,0.0,308.345,205.0,,,,311.9088000000119,312.4083999999761,311.3923000000119,311.9086999999881,309.36110000002384,311.39219999998807,312.4083999999761,312.9073999999762,312.9076000000239,319.4188000000119,149.0,319.4188999999762,1.0,320.4175,0.0,4.0,4.0,26.0,1.0,1.0,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,320.41780000001194,220.0,0.0,320.418,220.0,,,,324.1816000000239,324.6808999999762,323.66560000002386,324.1815,321.434,323.66560000002386,324.6808999999762,325.1845,325.1846999999881,333.55730000001194,7498.0,333.55739999997616,5.0,334.556,0.0,5.0,5.0,27.0,1.0,1.2,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,334.5563999999762,320.0,0.0,334.5566000000239,320.0,,,,338.75310000002384,339.2521999999881,338.2371000000239,338.753,335.57180000001193,338.2368999999762,339.2523000000119,339.75180000001194,339.75180000001194,394.7915,198.0,394.7916999999881,1.0,395.78869999998807,0.0,6.0,6.0,14.0,1.0,1.6,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,395.78910000002384,177.0,0.0,395.7893000000119,177.0,,,,399.7855,400.2848999999762,399.2695,399.78539999997616,396.804800000012,399.26939999997614,400.2848999999762,400.7845,400.78460000002383,403.1196000000239,1282.0,403.1196999999881,2.0,404.1151999999881,0.0,7.0,7.0,3.0,1.0,1.4,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,404.1155,300.0,0.0,404.11569999998807,300.0,,,,408.2951999999881,408.7943999999762,407.7821999999881,408.2951000000239,405.1346000000239,407.78210000002383,408.7943999999762,409.29410000002383,409.29410000002383,428.415,1067.0,428.415,1.0,429.41080000001193,0.0,8.0,8.0,29.0,1.0,1.6,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,429.4111000000239,41.0,0.0,429.4113000000119,41.0,,,,433.16139999997614,433.6573999999762,432.6586999999881,433.1613000000119,430.4268999999762,432.6586999999881,433.6573999999762,434.1568999999762,434.157,435.92280000001193,985.0,435.923,2.0,436.921800000012,0.0,9.0,9.0,17.0,1.0,1.2,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,436.922300000012,340.0,0.0,436.9225,340.0,,,,440.48589999997614,440.9855,439.9743000000119,440.4858000000119,437.9378000000119,439.97410000002384,440.9855,441.484800000012,441.48489999997616,443.400300000012,751.0,443.4003999999762,2.0,444.399,0.0,10.0,10.0,6.0,1.0,1.0,0.7,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,444.3995,98.0,0.0,444.39960000002384,98.0,,,,448.196300000012,448.6956999999881,447.67989999997616,448.1961999999881,445.4151999999881,447.679800000012,448.695800000012,449.1953000000119,449.1953000000119,451.24750000000006,887.0,451.24750000000006,2.0,452.2428000000119,0.0,11.0,11.0,22.0,1.0,1.2,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,452.2433000000119,259.0,0.0,452.2436000000239,259.0,,,,456.2398000000119,456.739,455.72350000000006,456.239699999988,453.258699999988,455.7233999999762,456.739,457.2383999999762,457.2385,468.41289999997616,616.0,468.41289999997616,1.0,469.4116000000239,0.0,12.0,12.0,23.0,1.0,1.4,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,469.412,230.0,0.0,469.4121999999881,230.0,,,,473.2091000000238,473.7083999999762,472.6971999999881,473.2091000000238,470.428,472.6971000000239,473.7085,474.2078999999761,474.208,475.9398999999762,976.0,475.94000000000005,2.0,476.9391999999881,0.0,13.0,13.0,12.0,1.0,1.2,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,476.9398000000119,225.0,0.0,476.94000000000005,225.0,,,,481.135800000012,481.6351999999881,480.6196000000239,481.1356999999881,477.9553000000119,480.61939999997617,481.6351999999881,482.1346999999881,482.134800000012,483.138,966.0,483.1381000000239,1.0,484.1328999999762,0.0,14.0,14.0,4.0,1.0,1.6,0.3,Time
,,S13,785063,1,male,23,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.97560975609215,,,,,,484.1333999999762,319.0,0.0,484.1336000000239,319.0,,,,487.697,488.1965,487.1808999999762,487.697,485.1491000000239,487.18069999998806,488.1966000000239,488.696,488.696,490.8113999999762,984.0,490.8115,3.0,491.8101000000238,0.0,15.0,15.0,16.0,1.0,1.0,0.7,Time
