Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0002,0.0005,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,0.0025,6.5359,0.0595,0.0672,6.5363,8.8381,8.8386,32.7579,space,23.8511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,32.7694,0.0,34.2411,s,1.442,,37.1935,37.6922,36.6773,37.1931,35.262,22.0,36.677,37.6928,38.1927,38.1934,44.2116,9999.0,44.2127,0.0,45.2107,0.0,0.0,0.0,18.0,1.0,1.4,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,45.2119,0.0,45.2165,,,,47.5617,48.0602,47.0445,47.5615,46.2282,311.0,47.0444,48.0603,48.5608,48.5609,54.5623,9999.0,54.5626,0.0,55.5618,0.0,1.0,1.0,25.0,1.0,0.8,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,55.5624,0.0,55.5626,,,,58.1137,58.6129,57.5969,58.1133,56.5794,187.0,57.5966,58.613,59.1131,59.1133,65.1204,9999.0,65.1209,0.0,66.1136,0.0,2.0,2.0,21.0,1.0,1.0,0.3,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,66.1143,0.0,66.1148,,,,68.6648,69.1648,68.1495,68.6646,67.1324,297.0,68.1492,69.1649,69.6643,69.6643,75.6656,9999.0,75.6661,0.0,76.6658,0.0,3.0,3.0,26.0,1.0,1.0,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,76.6663,0.0,76.6668,,,,79.2177,79.7161,78.6997,79.2174,77.683,106.0,78.6996,79.7162,80.2164,80.2164,86.2186,9999.0,86.2192,0.0,87.2178,0.0,4.0,4.0,16.0,1.0,1.0,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,87.2187,0.0,87.2193,,,,89.57,90.0684,89.0527,89.5698,88.2361,298.0,89.0525,90.0686,90.5678,90.5679,96.5706,9999.0,96.5711,0.0,97.5699,0.0,5.0,5.0,5.0,1.0,0.8,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,97.5715,0.0,97.5722,,,,100.5216,101.0199,100.0046,100.5212,98.5878,274.0,100.0045,101.02,101.52,101.5201,107.5225,9999.0,107.5231,0.0,108.5221,0.0,6.0,6.0,3.0,1.0,1.4,0.3,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,108.5232,0.0,108.5238,,,,110.8727,111.3721,110.3562,110.8724,109.5391,271.0,110.356,111.3721,111.8723,111.8724,117.8746,9999.0,117.8751,0.0,118.8734,0.0,7.0,7.0,0.0,1.0,0.8,0.3,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,118.8736,0.0,118.874,,,,122.0246,122.5242,121.5083,122.0243,119.891,44.0,121.508,122.5243,123.024,123.024,129.0262,9999.0,129.0269,0.0,130.0261,0.0,8.0,8.0,4.0,1.0,1.6,0.3,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,130.0273,0.0,130.0277,,,,133.177,133.6766,132.6611,133.1767,131.0456,338.0,132.6608,133.6767,134.1763,134.1764,140.1775,9999.0,140.1781,0.0,141.1774,0.0,9.0,9.0,19.0,1.0,1.6,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,141.1782,0.0,141.179,,,,144.3143,144.8117,143.8124,144.3142,142.1953,358.0,143.8121,144.8118,145.3117,145.3117,151.3131,9999.0,151.3137,0.0,152.313,0.0,10.0,10.0,9.0,1.0,1.6,0.7,Time
,,S28,1,female,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,60.24096386,,,,,,,,,,,,152.3139,0.0,152.3147,,,,155.2521,155.7475,154.7485,155.252,153.331,215.0,154.7483,155.7477,156.2476,156.2478,162.2663,9999.0,162.2668,0.0,163.265,0.0,11.0,11.0,28.0,1.0,1.4,0.7,Time
