Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0005,0.0008,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,0.0035,96.2864,0.058,0.0578,96.2866,101.1352,101.1356,121.1116,space,19.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,121.1205,0,124.1773,s,3.0307,,126.5269,127.0263,126.0107,126.5267,125.1946,3,126.0106,127.0266,127.5262,127.5266,133.5414,9999,133.542,0,134.5412,0,0,0,10,1,0.8,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,134.542,0,134.5443,,,,137.6786,138.1776,137.1616,137.6784,135.558,133,137.1614,138.1776,138.6771,138.6771,139.4783,767.0999999,139.4784,1,140.4759,0,1,1,24,1,1.6,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,140.4764,0,140.4767,,,,143.01,143.5086,142.494,143.0099,141.4775,114,142.4939,143.5087,144.0045,144.0046,148.2419,3923.7,148.2422,5,149.2357,0,2,2,1,1,1,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,149.2363,0,149.2366,,,,151.5863,152.09,151.0696,151.5861,150.2558,240,151.0694,152.09,152.5846,152.5847,152.9899,381.3999996,152.9901,1,153.9844,0,3,3,15,1,0.8,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,153.9853,0,153.9856,,,,156.306,156.8004,155.8013,156.3059,154.9893,68,155.8011,156.8004,157.3003,157.3004,157.934,298.0999999,157.9344,1,158.9328,0,4,4,0,1,0.8,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,158.9336,0,158.934,,,,161.4542,161.9486,160.9536,161.4541,159.9382,295,160.9535,161.9487,162.4484,162.4485,168.4527,9999,168.4529,0,169.447,0,5,5,16,1,1,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,169.4481,0,169.4483,,,,172.1798,172.6785,171.6656,172.1795,170.4518,347,171.6654,172.6786,173.1785,173.1787,175.8978,230.1000004,175.898,1,176.8981,0,6,6,22,1,1.2,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,176.8987,0,176.8988,,,,180.0273,180.5267,179.5161,180.0271,177.8995,86,179.516,180.5268,181.0267,181.0268,182.0925,670.4000001,182.0927,1,183.0922,0,7,7,29,1,1.6,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,183.0931,0,183.0933,,,,186.0416,186.5411,185.5249,186.0414,184.1095,51,185.5247,186.5411,187.0412,187.0414,193.0568,9999,193.0572,0,194.0553,0,8,8,18,1,1.4,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,194.0561,0,194.0566,,,,196.7889,197.2876,196.2721,196.7887,195.0604,56,196.2719,197.2877,197.7875,197.7876,199.3371,216.7000003,199.3375,1,200.3407,0,9,9,7,1,1.2,0.7,Time
