dataset,model,formula,parameter,beta,se,z,p,n_obs,n_subjects,converged,fit_method
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,Intercept,0.1354028890245124,0.029907885310104947,4.527330756439806,5.9733406723170175e-06,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,curDur_c,-0.38623911531153415,0.0420869306199316,-9.177174710113414,4.4254992217679455e-20,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,current_low_coherence,-0.08397825946023338,0.005682314987009799,-14.77888143339713,2.004678275714638e-49,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,curDur_c:current_low_coherence,0.015011878445841174,0.02032211897818077,0.738696513978634,0.4600913030651703,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,preDur_c,0.018916213117780974,0.014142072692417905,1.3375842091324184,0.1810320148011929,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,preDur_c:current_low_coherence,0.047537352170387244,0.020086574785911724,2.366623114047741,0.017951202674148743,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,Group x curDur_c Cov,0.013007329112731666,0.15459095982141463,0.08414029596399357,0.9329448866722863,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,curDur_c Var,0.9119082105966808,0.29841603861497834,3.055828416023044,0.0022443965533795896,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,Group x preDur_c Cov,0.024640215951041045,0.046811427844962054,0.5263718088807,0.5986298989404536,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,curDur_c x preDur_c Cov,0.01087818139584217,0.06297871593240939,0.17272790076439404,0.8628653117715004,4693,4693,True,lbfgs
experiment1_dynamic,primary_dual_interaction_lmm,curBias ~ curDur_c * current_low_coherence + preDur_c * current_low_coherence,preDur_c Var,0.0020811600578146865,0.030979456987842144,0.06717871325605984,0.9464394311966272,4693,4693,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,Intercept,-0.01815916040432198,0.015402758173831358,-1.1789551065713433,0.2384160526740018,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,curDur_c,-0.4869239975531581,0.03508838892310568,-13.877069095997138,8.723883832346739e-44,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,same_transition,-0.0020347616907565006,0.006100212828949454,-0.33355585252702014,0.7387147365703688,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,curDur_c:same_transition,0.0006375337855563434,0.021933782984996163,0.02906629403566404,0.9768117178963787,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,preDur_c,0.07888106333321958,0.018591490702909216,4.242858444959241,2.2069064987717314e-05,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,preDur_c:same_transition,0.028883018198186342,0.021646304753316862,1.3343163430127998,0.1821002037417877,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,Group x curDur_c Cov,0.06786110982347422,0.05940362646199881,1.1423731826690036,0.253298933407211,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,curDur_c Var,0.5191845985790844,0.18034147338510131,2.8788973985502335,0.00399068142344709,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,Group x preDur_c Cov,0.021905155521089743,0.027052052864384557,0.8097409697852922,0.4180890658148154,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,curDur_c x preDur_c Cov,0.01476097738623067,0.05930125402078078,0.24891509682169657,0.8034264571960917,4654,4654,True,lbfgs
experiment2_fixed,primary_dual_interaction_lmm,curBias ~ curDur_c * same_transition + preDur_c * same_transition,preDur_c Var,0.0657753025098769,0.039434308257427324,1.6679715054336812,0.0953213834440587,4654,4654,True,lbfgs
