dataset,model,formula,parameter,beta,se,z,p,n_obs,n_subjects,converged,fit_method
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,Intercept,0.05771093073528597,0.017113545013731,3.372237060701438,0.0007456024196251394,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,curDur_c,-0.3815943388977338,0.012804594292534765,-29.80136115052142,3.751147076069956e-195,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,preDur_c,0.12502738338280525,0.014685380757305237,8.513731135000393,1.6842428170863578e-17,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag1,0.18391135874502035,0.01852182387341034,9.929441074593134,3.099882205317632e-23,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag2,0.09497706411758088,0.01612527851194696,5.889948756371178,3.863153898389198e-09,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag3,0.053090094549347905,0.01616163824134617,3.2849451124037663,0.0010200224032047582,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag4,0.04481892174485129,0.016165934616574233,2.77242997747253,0.005563948852806471,2936,2936,True,lbfgs
experiment1,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag5,0.027193635155372174,0.016202926591982567,1.6783162597816104,0.09328537548123284,2936,2936,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,Intercept,-0.017530752461193615,0.010385146632015051,-1.6880601769406203,0.09139967790558141,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,curDur_c,-0.4698929598196424,0.013326428947804966,-35.26023075349378,2.3913525229050356e-272,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,preDur_c,0.17884550208397185,0.016119745195112927,11.094809497248939,1.3294294847881399e-28,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag1,0.13844155746302697,0.01886850093087604,7.337178399609052,2.181437570601221e-13,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag2,0.04477602438787047,0.01565572407942418,2.860041743244452,0.004235852480807552,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag3,0.05363470953983148,0.01571609310046939,3.4127253635465915,0.0006431672309528321,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag4,0.03827978727260308,0.01569649420040007,2.4387475817133364,0.014738258987616677,2771,2771,True,lbfgs
experiment2,response_error_lag_1_to_5,curBias ~ curDur_c + preDur_c + response_error_lag1 + response_error_lag2 + response_error_lag3 + response_error_lag4 + response_error_lag5,response_error_lag5,0.045777326988673116,0.015646902421933805,2.9256478857120323,0.0034373975545584526,2771,2771,True,lbfgs
