dataset,lag,predictor,condition,subID,slope
experiment1,-3,preDur3back,High,026578,-0.07628206385783035
experiment1,-3,preDur3back,Low,026578,0.040740229367475005
experiment1,-3,preDur3back,High,109550,0.03290981176417677
experiment1,-3,preDur3back,Low,109550,0.08779260288956815
experiment1,-3,preDur3back,High,199724,0.05131080892822078
experiment1,-3,preDur3back,Low,199724,0.14772141158235108
experiment1,-3,preDur3back,High,241220,0.01519778077183392
experiment1,-3,preDur3back,Low,241220,0.02010151370139583
experiment1,-3,preDur3back,High,243787,0.013416870365205141
experiment1,-3,preDur3back,Low,243787,0.024162331801771887
experiment1,-3,preDur3back,High,312070,-0.029665106709429206
experiment1,-3,preDur3back,Low,312070,0.06454094327733914
experiment1,-3,preDur3back,High,328537,0.1014319926229615
experiment1,-3,preDur3back,Low,328537,-0.0307738096865698
experiment1,-3,preDur3back,High,349889,-0.002079526253206659
experiment1,-3,preDur3back,Low,349889,0.006014142980141177
experiment1,-3,preDur3back,High,384894,0.06012462053277481
experiment1,-3,preDur3back,Low,384894,-0.09663733785884726
experiment1,-3,preDur3back,High,658375,0.02976879893159603
experiment1,-3,preDur3back,Low,658375,0.10435974267759537
experiment1,-3,preDur3back,High,730111,0.00011628989380662799
experiment1,-3,preDur3back,Low,730111,0.04952874826226043
experiment1,-3,preDur3back,High,743968,0.020276996893662892
experiment1,-3,preDur3back,Low,743968,-0.06373220295107582
experiment1,-3,preDur3back,High,785063,0.004732328183119701
experiment1,-3,preDur3back,Low,785063,-0.0025745752853067235
experiment1,-3,preDur3back,High,785667,0.03971076383584937
experiment1,-3,preDur3back,Low,785667,0.028124758158132503
experiment1,-3,preDur3back,High,787955,0.010029961381754892
experiment1,-3,preDur3back,Low,787955,-0.00516535103519874
experiment1,-3,preDur3back,High,803870,0.024178541006551257
experiment1,-3,preDur3back,Low,803870,-0.09402457385263069
experiment1,-3,preDur3back,High,820531,0.026542163693362122
experiment1,-3,preDur3back,Low,820531,0.09485456511766188
experiment1,-3,preDur3back,High,828098,-0.0897947428884321
experiment1,-3,preDur3back,Low,828098,-0.028411150214302364
