exp,source,grouping,condition,mean,sem,n_subjects
1,Reproduction,SameSwitch,Repeat,0.06199265072,0.01044289343,22
1,Reproduction,SameSwitch,Switch,0.05955229855,0.01155050106,22
1,Reproduction,current_uncertainty,HighUncertainty,0.07912990296,0.01199137968,22
1,Reproduction,current_uncertainty,LowUncertainty,0.03849035391,0.009718867667,22
1,pred,SameSwitch,Repeat,0.06717306765,0.006529546523,22
1,pred,SameSwitch,Switch,0.05659229658,0.006203959969,22
1,pred,current_uncertainty,HighUncertainty,0.05963550414,0.007558446124,22
1,pred,current_uncertainty,LowUncertainty,0.05658381552,0.006675977065,22
2,Reproduction,SameSwitch,Repeat,0.1330201821,0.01858551075,22
2,Reproduction,SameSwitch,Switch,0.09260516073,0.01969548432,22
2,Reproduction,current_uncertainty,HighUncertainty,0.1200817113,0.02243768073,22
2,Reproduction,current_uncertainty,LowUncertainty,0.1068101068,0.01982668439,22
2,pred,SameSwitch,Repeat,0.1115642842,0.01121601855,22
2,pred,SameSwitch,Switch,0.104352651,0.0117300009,22
2,pred,current_uncertainty,HighUncertainty,0.1139782754,0.01284349014,22
2,pred,current_uncertainty,LowUncertainty,0.1070364058,0.01117240903,22
