exp,Sub,source,grouping,condition,controlled_sdi
1,26578,Reproduction,current_uncertainty,HighUncertainty,0.0469535792458648
1,26578,Reproduction,current_uncertainty,LowUncertainty,0.0252477970335612
1,26578,Reproduction,SameSwitch,Repeat,0.0443469546791783
1,26578,Reproduction,SameSwitch,Switch,0.0185200622075016
1,26578,pred,current_uncertainty,HighUncertainty,0.0348687954883071
1,26578,pred,current_uncertainty,LowUncertainty,0.0288790609889133
1,26578,pred,SameSwitch,Repeat,0.0297882987884331
1,26578,pred,SameSwitch,Switch,0.0366432197331638
1,109550,Reproduction,current_uncertainty,HighUncertainty,-0.0097135667696672
1,109550,Reproduction,current_uncertainty,LowUncertainty,0.0439589868277349
1,109550,Reproduction,SameSwitch,Repeat,0.0227239036401099
1,109550,Reproduction,SameSwitch,Switch,0.0187267594089793
1,109550,pred,current_uncertainty,HighUncertainty,0.0389835751772557
1,109550,pred,current_uncertainty,LowUncertainty,0.0388671576471505
1,109550,pred,SameSwitch,Repeat,0.0356205215635257
1,109550,pred,SameSwitch,Switch,0.0419070134011891
1,199724,Reproduction,current_uncertainty,HighUncertainty,0.1371035843620494
1,199724,Reproduction,current_uncertainty,LowUncertainty,0.0996954150876927
1,199724,Reproduction,SameSwitch,Repeat,0.1059689609959471
1,199724,Reproduction,SameSwitch,Switch,0.1131904023391842
1,199724,pred,current_uncertainty,HighUncertainty,0.0762422894346809
1,199724,pred,current_uncertainty,LowUncertainty,0.0918663767713029
1,199724,pred,SameSwitch,Repeat,0.0721393442520537
1,199724,pred,SameSwitch,Switch,0.0934770597801051
1,241220,Reproduction,current_uncertainty,HighUncertainty,0.026636754096064
1,241220,Reproduction,current_uncertainty,LowUncertainty,0.0706999315544411
1,241220,Reproduction,SameSwitch,Repeat,0.067248856892694
1,241220,Reproduction,SameSwitch,Switch,0.0451860809966117
1,241220,pred,current_uncertainty,HighUncertainty,0.016699868885956
1,241220,pred,current_uncertainty,LowUncertainty,0.0392326897655819
1,241220,pred,SameSwitch,Repeat,0.0558612742056077
1,241220,pred,SameSwitch,Switch,0.0029553574407291
1,243787,Reproduction,current_uncertainty,HighUncertainty,0.16723526806971
1,243787,Reproduction,current_uncertainty,LowUncertainty,0.0163717573181172
1,243787,Reproduction,SameSwitch,Repeat,0.1027943016577963
1,243787,Reproduction,SameSwitch,Switch,0.105868738516955
1,243787,pred,current_uncertainty,HighUncertainty,0.1193694060151633
1,243787,pred,current_uncertainty,LowUncertainty,0.0944705036504133
1,243787,pred,SameSwitch,Repeat,0.1147863396750072
1,243787,pred,SameSwitch,Switch,0.1121576318394597
1,312070,Reproduction,current_uncertainty,HighUncertainty,0.0983064378124457
1,312070,Reproduction,current_uncertainty,LowUncertainty,0.0316659451704696
1,312070,Reproduction,SameSwitch,Repeat,0.110106656763056
1,312070,Reproduction,SameSwitch,Switch,0.022494740744173
1,312070,pred,current_uncertainty,HighUncertainty,0.0721638696335111
1,312070,pred,current_uncertainty,LowUncertainty,0.0452619877365055
1,312070,pred,SameSwitch,Repeat,0.0561910769202029
1,312070,pred,SameSwitch,Switch,0.0590590236650696
1,328537,Reproduction,current_uncertainty,HighUncertainty,0.0827590446761941
1,328537,Reproduction,current_uncertainty,LowUncertainty,0.0331604686152664
1,328537,Reproduction,SameSwitch,Repeat,0.0772390381068653
1,328537,Reproduction,SameSwitch,Switch,0.0383669010230919
1,328537,pred,current_uncertainty,HighUncertainty,0.1189807839179026
1,328537,pred,current_uncertainty,LowUncertainty,0.0575078811860369
1,328537,pred,SameSwitch,Repeat,0.1101029977448736
1,328537,pred,SameSwitch,Switch,0.063719499696308
1,349889,Reproduction,current_uncertainty,HighUncertainty,0.0858405160530389
1,349889,Reproduction,current_uncertainty,LowUncertainty,0.1314105716655062
1,349889,Reproduction,SameSwitch,Repeat,0.1468724239675153
1,349889,Reproduction,SameSwitch,Switch,0.0856678185502026
1,349889,pred,current_uncertainty,HighUncertainty,0.0773175242616583
1,349889,pred,current_uncertainty,LowUncertainty,0.0443651571696667
1,349889,pred,SameSwitch,Repeat,0.0878536484338015
1,349889,pred,SameSwitch,Switch,0.0473962792468193
1,384894,Reproduction,current_uncertainty,HighUncertainty,0.1223465334066033
1,384894,Reproduction,current_uncertainty,LowUncertainty,-0.0047498651353337
1,384894,Reproduction,SameSwitch,Repeat,-0.0396320484230646
1,384894,Reproduction,SameSwitch,Switch,0.0840638198648889
1,384894,pred,current_uncertainty,HighUncertainty,0.0706345027274985
1,384894,pred,current_uncertainty,LowUncertainty,0.0607195037849023
1,384894,pred,SameSwitch,Repeat,0.0323287026769384
1,384894,pred,SameSwitch,Switch,0.034995041033773
1,658375,Reproduction,current_uncertainty,HighUncertainty,0.0905683742082315
1,658375,Reproduction,current_uncertainty,LowUncertainty,0.0598943562723292
1,658375,Reproduction,SameSwitch,Repeat,0.1408571408869098
1,658375,Reproduction,SameSwitch,Switch,0.007949359985542
1,658375,pred,current_uncertainty,HighUncertainty,0.0923991284113007
1,658375,pred,current_uncertainty,LowUncertainty,0.1032281820349881
1,658375,pred,SameSwitch,Repeat,0.1243959621766831
1,658375,pred,SameSwitch,Switch,0.0879152428902284
1,730111,Reproduction,current_uncertainty,HighUncertainty,0.0889123144081948
1,730111,Reproduction,current_uncertainty,LowUncertainty,0.0995672589778606
1,730111,Reproduction,SameSwitch,Repeat,0.0458499063548599
1,730111,Reproduction,SameSwitch,Switch,0.1338161469180779
1,730111,pred,current_uncertainty,HighUncertainty,0.0569633599208696
1,730111,pred,current_uncertainty,LowUncertainty,0.1152511075434555
1,730111,pred,SameSwitch,Repeat,0.0913109390078567
1,730111,pred,SameSwitch,Switch,0.0795786497201271
