exp,model_id,model_name,mean_AIC,sem_AIC,mean_BIC,mean_RMSE,n_subjects,success_rate,delta_AIC
1,C1_S0_B2,C_Q1__S_baseline__B_B2,-76.31123925242963,18.434610970248894,-49.49071231598084,0.1995872902598604,22,1.0,0.0
1,C3_S1_B2,C_Q3__S_x_reset__B_B2,-76.25920947805793,18.42738969833929,-46.08611667455303,0.1986805585671137,22,1.0,0.05202977437170375
1,C1_S1_B2,C_Q1__S_x_reset__B_B2,-76.135266925306,18.54619147545174,-45.9621741218011,0.19878043270982354,22,1.0,0.1759723271236311
1,C9_S1_B2,C_Q1_Q3__S_x_reset__B_B2,-75.88406218471404,18.51342477220694,-42.358403514153046,0.19795204331996538,22,1.0,0.42717706771558994
1,C8_S1_B2,C_Q1_Q2__S_x_reset__B_B2,-75.8212030236065,18.605214948747523,-42.29554435304551,0.19800614648455242,22,1.0,0.49003622882312925
1,C3_S0_B2,C_Q3__S_baseline__B_B2,-75.73047944089846,18.343601556302033,-48.90995250444966,0.19981897378544208,22,1.0,0.5807598115311663
1,C2_S0_B2,C_Q2__S_baseline__B_B2,-75.59691755897207,18.398239667211186,-48.776390622523266,0.19991330561290607,22,1.0,0.7143216934575634
1,C9_S0_B2,C_Q1_Q3__S_baseline__B_B2,-75.4408948026854,18.478638333392507,-45.2678019991805,0.1990740242974285,22,1.0,0.8703444497442234
1,C5_S1_B2,C_Q1_R__S_x_reset__B_B2,-75.30430819082227,18.554249925972194,-41.778649520261276,0.19822637857397424,22,1.0,1.0069310616073608
1,C8_S0_B2,C_Q1_Q2__S_baseline__B_B2,-75.13386281069536,18.47514943652128,-44.96077000719046,0.19922019860618526,22,1.0,1.1773764417342676
1,C10_S1_B2,C_Q2_Q3__S_x_reset__B_B2,-74.99582235014617,18.516015200441867,-41.47016367958517,0.19836099311514446,22,1.0,1.3154169022834594
1,C1_S2_B2,C_Q1__S_K_reset__B_B2,-74.99567582011504,18.4759981036552,-44.82258301661015,0.19928375110678928,22,1.0,1.3155634323145904
1,C2_S1_B2,C_Q2__S_x_reset__B_B2,-74.96227662727775,18.54275394467827,-44.789183823772845,0.19933944305958917,22,1.0,1.3489626251518843
1,C4_S1_B2,C_R__S_x_reset__B_B2,-74.71617194162337,18.347690263096702,-44.543079138118465,0.19936603388824112,22,1.0,1.5950673108062574
1,C10_S0_B2,C_Q2_Q3__S_baseline__B_B2,-74.69431851353058,18.38058608249693,-44.521225710025675,0.199386971456625,22,1.0,1.6169207388990543
1,C14_S1_B2,C_Q1_Q2_Q3__S_x_reset__B_B2,-74.57752551061229,18.588116487596924,-37.69930097299518,0.19764081546394988,22,1.0,1.7337137418173398
1,C3_S2_B2,C_Q3__S_K_reset__B_B2,-74.4446187189487,18.4001087922057,-44.2715259154438,0.19951314778882498,22,1.0,1.8666205334809263
1,C1_S1_B1,C_Q1__S_x_reset__B_B1,-74.31422081820078,18.376818428828543,-44.14112801469587,0.19957151960093844,22,1.0,1.997018434228849
1,C1_S1_B3,C_Q1__S_x_reset__B_B3,-74.30861477822633,18.376133767568877,-44.13552197472142,0.19957379026958055,22,1.0,2.0026244742033015
1,C14_S0_B2,C_Q1_Q2_Q3__S_baseline__B_B2,-74.28977009850058,18.4867509646522,-40.764111427939575,0.19867945714089705,22,1.0,2.021469153929047
1,C7_S1_B2,C_Q3_R__S_x_reset__B_B2,-74.20014147817385,18.41280313086123,-40.674482807612854,0.19869750092871596,22,1.0,2.111097774255782
1,C4_S0_B2,C_R__S_baseline__B_B2,-74.08576909525117,18.120827298158062,-47.26524215880237,0.20048962158501818,22,1.0,2.2254701571784636
1,C2_S2_B2,C_Q2__S_K_reset__B_B2,-74.0840861304255,18.418178961297528,-43.910993326920604,0.19969463474116875,22,1.0,2.2271531220041254
1,C1_S0_B1,C_Q1__S_baseline__B_B1,-73.99485656947076,18.249434057375225,-47.17432963302195,0.20060168222143257,22,1.0,2.3163826829588743
1,C1_S0_B3,C_Q1__S_baseline__B_B3,-73.98230431029579,18.2474062210446,-47.16177737384699,0.200606617101424,22,1.0,2.3289349421338414
1,C9_S2_B2,C_Q1_Q3__S_K_reset__B_B2,-73.95176816315404,18.501697705631294,-40.42610949259304,0.1988430676584394,22,1.0,2.359471089275587
1,C8_S2_B2,C_Q1_Q2__S_K_reset__B_B2,-73.76105732438215,18.541483491341143,-40.23539865382116,0.1989560545960985,22,1.0,2.550181928047479
1,C2_S1_B3,C_Q2__S_x_reset__B_B3,-73.72612600102178,18.392986992742276,-43.553033197516875,0.19986048904661013,22,1.0,2.585113251407847
1,C2_S1_B1,C_Q2__S_x_reset__B_B1,-73.72599187461103,18.39243479382432,-43.55289907110613,0.19986066134247507,22,1.0,2.585247377818604
1,C7_S0_B2,C_Q3_R__S_baseline__B_B2,-73.72110694027384,18.208142806460437,-43.548014136768934,0.19976259320355058,22,1.0,2.590132312155788
1,C12_S1_B2,C_Q1_Q3_R__S_x_reset__B_B2,-73.71529060905623,18.479637199020697,-36.837066071439125,0.1980078116450844,22,1.0,2.5959486433734043
1,C2_S0_B1,C_Q2__S_baseline__B_B1,-73.65713079808091,18.246684745272784,-46.836603861632106,0.20076824193448714,22,1.0,2.654108454348716
1,C2_S0_B3,C_Q2__S_baseline__B_B3,-73.6435062604145,18.2446913006002,-46.82297932396569,0.20077404620409303,22,1.0,2.6677329920151323
1,C5_S0_B2,C_Q1_R__S_baseline__B_B2,-73.58400928244124,18.23953795346179,-43.41091647893635,0.19983218193740138,22,1.0,2.727229969988386
1,C11_S1_B2,C_Q1_Q2_R__S_x_reset__B_B2,-73.51469523258172,18.4956713589388,-36.636470694964615,0.19810071153718206,22,1.0,2.7965440198479143
1,C6_S1_B2,C_Q2_R__S_x_reset__B_B2,-73.42554312391712,18.4147553707663,-39.89988445335612,0.1990567131871943,22,1.0,2.8856961285125067
1,C4_S1_B3,C_R__S_x_reset__B_B3,-73.40191534643508,18.251376214207024,-43.228822542930175,0.1999442280191962,22,1.0,2.9093239059945546
1,C4_S1_B1,C_R__S_x_reset__B_B1,-73.4006789761287,18.2518811593927,-43.22758617262381,0.1999451251409878,22,1.0,2.9105602763009273
1,C8_S1_B1,C_Q1_Q2__S_x_reset__B_B1,-73.2929711276905,18.464782929988093,-39.7673124571295,0.1991474813243503,22,1.0,3.018268124739123
1,C10_S2_B2,C_Q2_Q3__S_K_reset__B_B2,-73.27958077818276,18.42095637890284,-39.753922107621776,0.19913323016170084,22,1.0,3.0316584742468677
1,C8_S1_B3,C_Q1_Q2__S_x_reset__B_B3,-73.27855400782408,18.465730272424118,-39.75289533726309,0.19915499740689244,22,1.0,3.0326852446055454
1,C6_S0_B2,C_Q2_R__S_baseline__B_B2,-73.242253787523,18.215191085215995,-43.06916098401809,0.19998864271673658,22,1.0,3.068985464906632
1,C8_S0_B1,C_Q1_Q2__S_baseline__B_B1,-73.19905996678129,18.309826753982183,-43.0259671632764,0.20006288517001455,22,1.0,3.112179285648338
1,C8_S0_B3,C_Q1_Q2__S_baseline__B_B3,-73.19801933461652,18.307568342189473,-43.024926531111625,0.2000623939647098,22,1.0,3.1132199178131117
1,C5_S1_B1,C_Q1_R__S_x_reset__B_B1,-73.0410620145179,18.427682199779472,-39.515403343956905,0.19924486388924498,22,1.0,3.2701772379117244
1,C5_S1_B3,C_Q1_R__S_x_reset__B_B3,-73.0392307001605,18.426269402382587,-39.51357202959951,0.19924515772871795,22,1.0,3.272008552269128
1,C1_S2_B1,C_Q1__S_K_reset__B_B1,-72.85240729778917,18.34333495679605,-42.67931449428426,0.20023816755957524,22,1.0,3.458831954640459
1,C1_S2_B3,C_Q1__S_K_reset__B_B3,-72.84264464102044,18.3420459738957,-42.66955183751554,0.20024197862286658,22,1.0,3.4685946114091877
1,C12_S0_B2,C_Q1_Q3_R__S_baseline__B_B2,-72.83704924352095,18.284168599768016,-39.31139057295996,0.1992644780370129,22,1.0,3.4741900089086784
1,C14_S2_B2,C_Q1_Q2_Q3__S_K_reset__B_B2,-72.78410441927059,18.56444758721161,-35.90587988165349,0.19848524581602292,22,1.0,3.527134833159039
1,C4_S0_B1,C_R__S_baseline__B_B1,-72.77255398308624,18.022218544170954,-45.95202704663744,0.20108131898272885,22,1.0,3.5386852693433895
1,C4_S0_B3,C_R__S_baseline__B_B3,-72.77023160397975,18.022150877436697,-45.94970466753095,0.201082316386095,22,1.0,3.5410076484498774
1,C13_S0_B2,C_Q2_Q3_R__S_baseline__B_B2,-72.74656202680313,18.264629841437955,-39.22090335624215,0.19930202760762697,22,1.0,3.5646772256264967
1,C3_S1_B3,C_Q3__S_x_reset__B_B3,-72.73463616920503,18.287990542918777,-42.561543365700125,0.20028428130924214,22,1.0,3.5766030832245974
1,C3_S1_B1,C_Q3__S_x_reset__B_B1,-72.72836450211126,18.28823379927216,-42.555271698606354,0.2002874691170591,22,1.0,3.5828747503183678
1,C13_S1_B2,C_Q2_Q3_R__S_x_reset__B_B2,-72.7282445188715,18.458245981738617,-35.8500199812544,0.19845759451042533,22,1.0,3.582994733558124
1,C4_S2_B2,C_R__S_K_reset__B_B2,-72.49315323615171,18.135421685183612,-42.32006043264681,0.20030386568761874,22,1.0,3.818086016277917
1,C6_S1_B3,C_Q2_R__S_x_reset__B_B3,-72.47078889195201,18.36872484660299,-38.94513022139102,0.19948759733629257,22,1.0,3.840450360477618
1,C7_S2_B2,C_Q3_R__S_K_reset__B_B2,-72.46001377069864,18.249673100803253,-38.93435510013764,0.1994310859869703,22,1.0,3.8512254817309923
1,C6_S1_B1,C_Q2_R__S_x_reset__B_B1,-72.45955233243272,18.36921726855948,-38.933893661871736,0.19949286258134807,22,1.0,3.851686919996908
1,C3_S0_B3,C_Q3__S_baseline__B_B3,-72.39414141595059,18.157469043196258,-45.57361447950178,0.201323671378467,22,1.0,3.9170978364790443
1,C3_S0_B1,C_Q3__S_baseline__B_B1,-72.39291303259077,18.15865637822946,-45.57238609614197,0.20132463063101047,22,1.0,3.9183262198388604
1,C15_S1_B2,C_Q1_Q2_Q3_R__S_x_reset__B_B2,-72.39119489824691,18.505599434421928,-32.160404493573715,0.197689586936088,22,1.0,3.9200443541827212
1,C11_S0_B2,C_Q1_Q2_R__S_baseline__B_B2,-72.35666802855508,18.252834332402244,-38.83100935799408,0.1994770918457319,22,1.0,3.9545712238745523
